scorer,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000
bodyparts,pupil1,pupil1,pupil1,pupil2,pupil2,pupil2,pupil3,pupil3,pupil3,pupil4,pupil4,pupil4,eyelid,eyelid,eyelid
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,341.7205505371094,147.9718475341797,1.0,354.6419372558594,174.09381103515625,1.0,357.2481994628906,155.9322052001953,1.0,339.93182373046875,166.3996124267578,1.0,305.2817077636719,133.24806213378906,1.0
35,342.0897521972656,147.9860382080078,1.0,354.4861145019531,174.09652709960938,1.0,356.8670959472656,156.13966369628906,1.0,339.7430725097656,166.1922149658203,1.0,305.2919921875,133.57481384277344,1.0
36,341.5279541015625,147.97564697265625,1.0,354.6153564453125,174.3490447998047,1.0,357.054443359375,156.14381408691406,1.0,340.0159912109375,166.37132263183594,1.0,305.056884765625,132.75135803222656,1.0
37,342.0262451171875,148.28036499023438,1.0,354.1348571777344,174.30300903320312,1.0,357.2667541503906,155.89431762695312,1.0,339.6652526855469,166.5304412841797,1.0,304.955810546875,133.16036987304688,1.0
38,342.4271545410156,148.60711669921875,1.0,353.96258544921875,175.04721069335938,1.0,356.74273681640625,157.22630310058594,1.0,339.5906677246094,166.93312072753906,1.0,304.74188232421875,134.1725311279297,1.0
39,342.29150390625,148.32212829589844,1.0,354.2417297363281,174.69708251953125,1.0,357.232666015625,156.60597229003906,1.0,339.9505615234375,166.51925659179688,1.0,304.802001953125,133.32553100585938,1.0
40,342.100341796875,148.4735870361328,1.0,354.17572021484375,174.5850067138672,1.0,357.08123779296875,156.269775390625,1.0,339.7438049316406,166.53541564941406,1.0,304.67364501953125,133.99217224121094,1.0
41,342.45733642578125,148.80563354492188,1.0,354.86126708984375,174.528564453125,1.0,357.2957763671875,156.64837646484375,1.0,340.7917175292969,166.85763549804688,1.0,303.9234313964844,136.89422607421875,1.0
42,342.7840270996094,148.2481689453125,1.0,355.5942077636719,174.71189880371094,1.0,358.6607360839844,155.9440460205078,1.0,341.1971740722656,166.269775390625,1.0,305.127685546875,134.6569366455078,1.0
43,342.3362731933594,147.84844970703125,1.0,354.994873046875,174.0233612060547,1.0,357.7998046875,155.61956787109375,1.0,340.97979736328125,166.23916625976562,1.0,305.10443115234375,134.2707061767578,1.0
